Output,RG,RF,RZ,RP,RYM,RZM,CG,CF,CZ,CP,CYM,CZM
11.4213314286,0.2713659945,0.0586321487,1355.26915471,97.9939778646,-1011.46337891,0.0672691283,0.2209389278,0.1092301546,1343.67850529,138.408251689,-1011.46337891,0.0672691283
11.3482457143,0.2722336763,0.0562416826,1317.07118453,100.887044271,-1004.16784668,-0.2437927694,0.2219751515,0.1070130495,1316.84300701,142.735863324,-1004.16784668,-0.2437927694
11.3323028572,0.2700242404,0.0603472978,1323.78382802,101.542154948,-1011.94189453,0.380490936,0.2195923626,0.1103517867,1321.27772759,143.685500709,-1011.94189453,0.380490936
11.2975028572,0.270040786,0.0589348042,1274.47209069,99.3932505123,-1003.29760742,0.0300332847,0.2197528358,0.1093208389,1272.13166906,142.845086616,-1003.29760742,0.0300332847
11.2812,0.2719076986,0.0694138352,1315.22081479,101.22575431,-1011.23376465,0.1002069355,0.2213873956,0.1088131871,1313.20565378,143.68537259,-1011.23376465,0.1002069355
11.2764,0.2655976135,0.0627210572,1357.09148994,99.645395748,-1003.14416504,-0.7221458285,0.2189940183,0.1098389202,1357.89966809,139.766035044,-1003.14416504,-0.7221458285
11.3057142857,0.2732846063,0.081325982,1296.57499617,97.3554338728,-1007.00549316,-0.369178667,0.2216438288,0.1094115314,1270.54401172,137.233835503,-1007.00549316,-0.369178667
11.274,0.2727595287,0.057782965,1317.8441595,94.3766276042,-1008.67553711,0.251172948,0.2217293066,0.1089841426,1310.56911068,133.579385461,-1008.67553711,0.251172948
11.3702057143,0.2689985073,0.0600053868,1273.34226824,100.126139323,-1005.67028809,0.3062357122,0.2201907069,0.1088986648,1273.34226824,142.37869136,-1005.67028809,0.3062357122
11.3907107143,0.271894729,0.0684378928,1418.11649037,105.174097522,-1008.46313477,0.1919280334,0.21915452,0.1099191547,1410.55654655,149.123532296,-1008.46313477,0.1919280334
11.4872964286,0.2679727742,0.0618858974,1339.24365052,103.068033854,-1010.5657959,-0.4633992815,0.2195068849,0.1103517867,1334.55650859,146.930842417,-1010.5657959,-0.4633992815
11.5237678571,0.266451087,0.061715083,1438.3051992,101.110239498,-999.803466797,-1.4613109711,0.2164231928,0.1111544137,1433.8866221,143.429421951,-999.803466797,-1.4613109711
11.6267392857,0.2559204102,0.0712884509,1449.15099229,94.7713216146,-1009.21911621,-0.3911807631,0.2080528652,0.1191559959,1445.2354975,134.402093647,-1009.21911621,-0.3911807631
11.7723392857,0.2619163457,0.0675306505,1459.14037195,103.955078125,-1005.10571289,0.0890722934,0.2151577814,0.114716624,1459.14037195,147.212602889,-1005.10571289,0.0890722934
11.8917607143,0.2691793541,0.0713625949,1421.37967467,108.718345905,-1007.6595459,-0.1359364594,0.2173803091,0.1121521689,1413.35916566,154.976059366,-1007.6595459,-0.1359364594
12.0004464286,0.2660067857,0.0632535416,1519.87752189,104.736328125,-1007.41967773,0.7501684592,0.215574908,0.1136854193,1515.16461237,145.975214797,-1007.41967773,0.7501684592
12.1231464286,0.2622457643,0.0675274295,1564.86642416,104.109700521,-999.55090332,-0.2024331549,0.2154894302,0.1139418526,1564.86642416,146.423932213,-999.55090332,-0.2024331549
12.2372607143,0.2607926424,0.0678693406,1480.61334242,106.685384115,-1012.95605469,0.4671353911,0.2150620414,0.1132580305,1480.61334242,150.153299431,-1012.95605469,0.4671353911
12.257755,0.2573003266,0.0709499239,1508.06152026,108.020019531,-1004.40332031,-0.713546531,0.2145594085,0.1140327693,1504.87063484,150.532941056,-1004.40332031,-0.713546531
12.3060214286,0.258432587,0.0783208076,1509.33381133,108.059123411,-1004.36669922,-0.7264038437,0.2127135049,0.1133351007,1495.94825256,153.17102507,-1004.36669922,-0.7264038437
12.3004928572,0.2510643566,0.0735704327,1511.66977198,107.617987961,-1000.45605469,0.0276549907,0.2112256169,0.1138618056,1507.82606956,152.029085167,-1000.45605469,0.0276549907
12.4262682857,0.2551964721,0.0705468995,1572.71280386,104.564228996,-1006.90124512,-0.1569459468,0.2108839381,0.1146071801,1572.71280386,147.476369381,-1006.90124512,-0.1569459468
12.4371768571,0.2572985847,0.0680243644,1537.65193856,108.51850666,-1007.56628418,0.0378495799,0.2114725296,0.1135140815,1536.30413823,152.089741764,-1007.56628418,0.0378495799
12.3304911429,0.2599052044,0.0648291532,1533.47308895,104.480180584,-1007.35058594,-0.2923662324,0.2120050648,0.1134398069,1529.58500978,147.350229649,-1007.35058594,-0.2923662324
12.1970125714,0.2662115423,0.0608771815,1543.38999983,108.838691086,-1009.21447754,0.1484831852,0.2134583253,0.1138672364,1539.7782114,154.555430663,-1009.21447754,0.1484831852
12.0667268571,0.2639805001,0.0654822095,1514.23274045,105.008951823,-1016.31335449,-0.4588301267,0.2140567267,0.1154914688,1507.49517346,149.214856109,-1016.31335449,-0.4588301267
11.953284,0.2646980212,0.0633156321,1365.79962586,100.878105789,-1006.59997559,-0.2683581359,0.2155926704,0.1124209829,1356.79654408,142.636285709,-1006.59997559,-0.2683581359
11.854384,0.2707391923,0.0564180118,1374.26758683,97.9924436475,-1008.73986816,-0.1270010344,0.2173480783,0.1099772868,1370.5914377,138.843652956,-1008.73986816,-0.1270010344
11.7354554286,0.2713277557,0.0571747363,1304.17037042,104.143986936,-1010.89355469,-0.3564677096,0.2176367546,0.1102715685,1308.24231039,148.103929756,-1010.89355469,-0.3564677096
11.6587493061,0.2708919385,0.0575292757,1373.589299,100.398763021,-1018.65661621,0.5586138477,0.2189189822,0.109502232,1366.31825407,142.170626403,-1018.65661621,0.5586138477
11.5846635918,0.2746714568,0.0766588894,1429.43407708,101.061139788,-1020.03405762,-0.0812140221,0.2187480185,0.1090748228,1408.81624701,143.442435796,-1020.03405762,-0.0812140221
11.4596167347,0.2754414718,0.0641113771,1404.97512093,100.748697917,-1019.30310059,0.4168056685,0.2181496456,0.1088183773,1382.02516441,142.746036137,-1019.30310059,0.4168056685
11.3503653061,0.2681811501,0.063980981,1364.84254998,102.572166314,-1022.45458984,-0.118548589,0.2179352166,0.1144007759,1357.03827628,143.520893739,-1022.45458984,-0.118548589
11.3873150204,0.2738838028,0.0542809659,1273.2072829,106.339518229,-1023.4041748,0.4281636003,0.2199447642,0.10847645,1270.45445901,149.559866318,-1023.4041748,0.4281636003
11.4735121633,0.2691416629,0.0599493926,1337.19782583,101.386398566,-1013.20996094,-0.2002781142,0.2176844002,0.1109862527,1333.41915331,143.64358917,-1013.20996094,-0.2002781142
11.5489407347,0.2708136526,0.1188643659,1347.1857984,100.9832644,-1018.29162598,-0.364060872,0.2176740175,0.1082064351,1330.86386776,139.811372745,-1018.29162598,-0.364060872
11.5688550204,0.2738316444,0.065893456,1336.93561187,106.275655456,-1015.77807617,-0.3938678759,0.2187774467,0.1096409648,1329.71322565,150.555128178,-1015.77807617,-0.3938678759
11.6766578775,0.274438734,0.0534751945,1303.91421208,106.889568391,-1017.5065918,-0.2972541634,0.2184411247,0.1101454478,1299.81863703,152.700474211,-1017.5065918,-0.2972541634
11.8034293061,0.2746619822,0.0650841014,1401.55640828,106.344288793,-1021.76330566,0.9124424176,0.2181496456,0.1101006049,1388.57213816,151.061658376,-1021.76330566,0.9124424176
11.8700497143,0.2732976416,0.068141235,1379.21458042,105.895996094,-1024.12084961,-1.5832459244,0.2161216628,0.1131013121,1350.28906697,151.847259732,-1024.12084961,-1.5832459244
11.9445997143,0.2719206682,0.0687097103,1552.04189161,113.466460129,-1024.8729248,-0.2407382265,0.2166109726,0.1124940963,1543.70861859,160.586027265,-1024.8729248,-0.2407382265
12.0289425714,0.2707710849,0.0682675629,1465.58603381,106.55896417,-1027.0949707,0.8692199387,0.2149868177,0.1129215054,1463.27549186,150.595436564,-1027.0949707,0.8692199387
12.1088068571,0.2658611902,0.0617208294,1475.0044592,111.547851562,-1022.47290039,-0.1971672806,0.2142276986,0.113268835,1470.03094845,158.560158933,-1022.47290039,-0.1971672806
12.1271142857,0.266619248,0.0627240489,1507.48388769,111.412173412,-1016.41369629,-0.8642687711,0.2141102667,0.115183152,1508.8014618,159.667311551,-1016.41369629,-0.8642687711
